weights = 'uniform', unscaled data

n_neighbors	mean_accuracy_score	mean_roc_auc_score	mean_precision_score	mean_recall_score	mean_f1_score	mean_cm_TN	mean_cm_FP	mean_cm_FN	mean_cm_TP
1	0.8043813683	0.5589110463	0.2361177318	0.2272217978	0.2314291174	913.4	112.2	118.4	34.8
2	0.8047206391	0.5784257377	0.2359302461	0.2259146083	0.2306371646	914.0	111.6	118.6	34.6
3	0.7331175391	0.5857384870	0.2026119789	0.3590187590	0.2589054284	809.2	216.4	98.2	55.0
4	0.7373597177	0.6008263552	0.2050924871	0.3551226551	0.2598857853	814.8	210.8	98.8	54.4
5	0.6747530490	0.6042144711	0.1853920035	0.4439096851	0.2614876391	727.4	298.2	85.2	68.0
6	0.6845944900	0.6056803875	0.1868461779	0.4269247093	0.2598641360	741.6	284.0	87.8	65.4
7	0.6328477928	0.6045763741	0.1819741500	0.5235463883	0.2699470976	665.8	359.8	73.0	80.2
8	0.6494759414	0.6049305606	0.1853880814	0.5013581190	0.2705406129	688.8	336.8	76.4	76.8
9	0.6048527768	0.6108859997	0.1768449397	0.5587641117	0.2685578097	627.4	398.2	67.6	85.6
10	0.6416675362	0.6131802747	0.1872469333	0.5261353026	0.2761289152	675.8	349.8	72.6	80.6

weights = 'distance', unscaled data
n_neighbors	mean_accuracy_score	mean_roc_auc_score	mean_precision_score	mean_recall_score	mean_f1_score	mean_cm_TN	mean_cm_FP	mean_cm_FN	mean_cm_TP
1	0.8043813683	0.5589110463	0.2361177318	0.2272217978	0.2314291174	913.4	112.2	118.4	34.8
2	0.8043813683	0.5783278184	0.2361177318	0.2272217978	0.2314291174	913.4	112.2	118.4	34.8
3	0.7410921276	0.5862690719	0.2063316778	0.3485612427	0.2591085114	820.2	205.4	99.8	53.4
4	0.7383781059	0.6021310590	0.2051019856	0.3524997878	0.2592251844	816.4	209.2	99.2	54.0
5	0.6922286560	0.6055816082	0.1926251510	0.4295390884	0.2659090908	750.2	275.4	87.4	65.8
6	0.6868010447	0.6072234486	0.1890550383	0.4295390884	0.2625120457	743.8	281.8	87.4	65.8
7	0.6572790261	0.6065997838	0.1865655662	0.4883032001	0.2699117953	700.0	325.6	78.4	74.8
8	0.6516804832	0.6076473913	0.1867378941	0.5013496308	0.2720398601	691.4	334.2	76.4	76.8
9	0.6321688192	0.6143833926	0.1820964739	0.5248366013	0.2702644033	664.8	360.8	72.8	80.4
10	0.6389539450	0.6172190208	0.1876395714	0.5339699516	0.2776199783	671.4	354.2	71.4	81.8

weights = 'uniform', scaled data
n_neighbors	mean_accuracy_score	mean_roc_auc_score	mean_precision_score	mean_recall_score	mean_f1_score	mean_cm_TN	mean_cm_FP	mean_cm_FN	mean_cm_TP
1	0.8043813683	0.5589110463	0.2361177318	0.2272217978	0.2314291174	913.4	112.2	118.4	34.8
2	0.8047206391	0.5784257377	0.2359302461	0.2259146083	0.2306371646	914.0	111.6	118.6	34.6
