model,kernel,max_iter,C,mean_accuracy_score,mean_roc_auc_score,mean_confusion_matrix
svm,linear,10,5E-15,0.2910712892,0.4730454749,"[[221.4, 804.2], [31.6, 121.6]]"
svm,linear,10,1E-15,0.2910712892,0.4801074701,"[[221.4, 804.2], [31.6, 121.6]]"
svm,linear,10,1E-13,0.2910712892,0.4670798831,"[[221.4, 804.2], [31.6, 121.6]]"
svm,linear,10,1E-11,0.2905622396,0.4812416833,"[[220.8, 804.8], [31.6, 121.6]]"
svm,linear,10,5E-10,0.3037926417,0.5168703489,"[[241.4, 784.2], [36.6, 116.6]]"
svm,linear,10,1E-14,0.2910712892,0.4668144482,"[[221.4, 804.2], [31.6, 121.6]]"
svm,linear,10,1E-09,0.5637288123,0.5112598111,"[[601.4, 424.2], [90.0, 63.2]]"
svm,linear,10,5E-14,0.2910712892,0.4669426437,"[[221.4, 804.2], [31.6, 121.6]]"
svm,linear,10,5E-11,0.2903923168,0.4886521332,"[[220.8, 804.8], [31.8, 121.4]]"
svm,linear,10,1E-08,0.5589675105,0.5014968482,"[[595.0, 430.6], [89.2, 64.0]]"
svm,linear,10,5E-09,0.3643004514,0.5010894645,"[[326.6, 699.0], [50.4, 102.8]]"
svm,linear,10,5E-13,0.2905623834,0.4680158282,"[[220.8, 804.8], [31.6, 121.6]]"
svm,linear,10,1E-12,0.2905623834,0.4695485022,"[[220.8, 804.8], [31.6, 121.6]]"
svm,linear,10,5E-12,0.2903927481,0.4762467542,"[[220.6, 805.0], [31.6, 121.6]]"
svm,linear,10,5E-04,0.5641029042,0.4634818669,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5E-07,0.4035928059,0.5068305436,"[[378.8, 646.8], [56.2, 97.0]]"
svm,linear,10,1E-10,0.2912404932,0.4880995780,"[[221.8, 803.8], [31.8, 121.4]]"
svm,linear,10,1E-03,0.5641029042,0.5003839078,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,1E-01,0.5641029042,0.4811720368,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5E+00,0.5641029042,0.4850081599,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5E-03,0.5641029042,0.5046458839,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5E-01,0.5641029042,0.4811197493,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,1E-02,0.5641029042,0.5090038840,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,1E+00,0.5641029042,0.4850151741,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,1E+03,0.5641029042,0.4850081599,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5E-02,0.5641029042,0.4854203413,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,1E+01,0.5641029042,0.4850081599,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,1E+05,0.5641029042,0.4850075223,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5E+03,0.5641029042,0.4850081599,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5E+04,0.5641029042,0.4850081599,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,1E+04,0.5641029042,0.4850081599,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5E-08,0.4187994590,0.4993184666,"[[400.2, 625.4], [59.8, 93.4]]"
svm,linear,10,5E+02,0.5641029042,0.4850081599,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5E-06,0.6956441527,0.4648249085,"[[782.6, 243.0], [115.8, 37.4]]"
svm,linear,10,1E+02,0.5641029042,0.4850081599,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5E+05,0.5641029042,0.4850075223,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,1E+06,0.5641029042,0.4850068846,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5E+01,0.5641029042,0.4850081599,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5E+06,0.5641029042,0.4850062470,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,1E-04,0.5647815894,0.5061881320,"[[602.2, 423.4], [89.8, 63.4]]"
svm,linear,10,1E+07,0.5641029042,0.4850081599,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5E-05,0.6789235506,0.4727656515,"[[762.4, 263.2], [115.2, 38.0]]"
svm,linear,10,1E-07,0.3368572646,0.5033760762,"[[280.6, 745.0], [36.8, 116.4]]"
svm,linear,10,1E-05,0.5591515297,0.4840870459,"[[594.8, 430.8], [88.8, 64.4]]"
svm,linear,10,1E-06,0.5300733382,0.5070416069,"[[555.0, 470.6], [83.4, 69.8]]"
svm,linear,10,5E+07,0.5641029042,0.4850075223,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,1E+08,0.5641029042,0.4850036963,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5E+10,0.5641029042,0.5000000000,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,1E+10,0.5641029042,0.5000000000,"[[601.4, 424.2], [89.8, 63.4]]"
