model,kernel,max_iter,C,log C,mean_accuracy_score,mean_roc_auc_score,mean_confusion_matrix
svm,linear,10,1.00E-10,-1.00E+01,0.291240493,0.486343481,"[[221.8, 803.8], [31.8, 121.4]]"
svm,linear,10,5.00E-08,-7.30E+00,0.418799459,0.494742079,"[[400.2, 625.4], [59.8, 93.4]]"
svm,linear,10,5.00E-10,-9.30E+00,0.303792642,0.51660407,"[[241.4, 784.2], [36.6, 116.6]]"
svm,linear,10,1.00E-03,-3.00E+00,0.564102904,0.490543927,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5.00E-05,-4.30E+00,0.678923551,0.50198499,"[[762.4, 263.2], [115.2, 38.0]]"
svm,linear,10,1.00E-08,-8.00E+00,0.558967511,0.501148392,"[[595.0, 430.6], [89.2, 64.0]]"
svm,linear,10,1.00E-06,-6.00E+00,0.530073338,0.515880892,"[[555.0, 470.6], [83.4, 69.8]]"
svm,linear,10,1.00E-05,-5.00E+00,0.55915153,0.489345042,"[[594.8, 430.8], [88.8, 64.4]]"
svm,linear,10,5.00E-02,-1.30E+00,0.564102904,0.492150521,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,1.00E-09,-9.00E+00,0.563728812,0.510498269,"[[601.4, 424.2], [90.0, 63.2]]"
svm,linear,10,1.00E-07,-7.00E+00,0.336857265,0.4983652,"[[280.6, 745.0], [36.8, 116.4]]"
svm,linear,10,1.00E-02,-2.00E+00,0.564102904,0.492667791,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5.00E-03,-2.30E+00,0.564102904,0.492669065,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,1.00E-01,-1.00E+00,0.564102904,0.491955589,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,1.00E+01,1.00E+00,0.564102904,0.491955589,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5.00E+01,1.70E+00,0.564102904,0.491955589,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5.00E-01,-3.01E-01,0.564102904,0.491955589,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5.00E+02,2.70E+00,0.564102904,0.491955589,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5.00E+00,6.99E-01,0.564102904,0.491955589,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,1.00E+00,0.00E+00,0.564102904,0.491955589,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,1.00E+02,2.00E+00,0.564102904,0.491955589,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5.00E-04,-3.30E+00,0.564102904,0.491684872,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,1.00E+03,3.00E+00,0.564102904,0.491955589,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5.00E-06,-5.30E+00,0.695644153,0.470706305,"[[782.6, 243.0], [115.8, 37.4]]"
svm,linear,10,1.00E+07,7.00E+00,0.564102904,0.491955589,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5.00E+04,4.70E+00,0.564102904,0.491955589,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5.00E+03,3.70E+00,0.564102904,0.491955589,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5.00E+08,8.70E+00,0.564102904,0.491935204,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5.00E-09,-8.30E+00,0.364300451,0.504075465,"[[326.6, 699.0], [50.4, 102.8]]"
svm,linear,10,5.00E+05,5.70E+00,0.564102904,0.491953678,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,1.00E+08,8.00E+00,0.564102904,0.491968967,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,1.00E+06,6.00E+00,0.564102904,0.491952404,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5.00E-07,-6.30E+00,0.403592806,0.525062156,"[[378.8, 646.8], [56.2, 97.0]]"
svm,linear,10,5.00E+10,1.07E+01,0.564102904,0.492423171,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,1.00E+10,1.00E+01,0.564102904,0.492155617,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,1.00E+05,5.00E+00,0.564102904,0.491954315,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,1.00E+04,4.00E+00,0.564102904,0.491955589,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5.00E+07,7.70E+00,0.564102904,0.491935841,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5.00E+09,9.70E+00,0.564102904,0.491721799,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,5.00E+06,6.70E+00,0.564102904,0.491952404,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,10,1.00E-04,-4.00E+00,0.564781589,0.492049882,"[[602.2, 423.4], [89.8, 63.4]]"
svm,linear,10,1.00E+09,9.00E+00,0.564102904,0.492137143,"[[601.4, 424.2], [89.8, 63.4]]"
svm,linear,100,1.00E-02,-2.00E+00,0.471471394,0.496628973,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5.00E+01,1.70E+00,0.471471394,0.5,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5.00E-03,-2.30E+00,0.471471394,0.493106504,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1.00E+00,0.00E+00,0.471471394,0.505963973,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5.00E-04,-3.30E+00,0.552296702,0.488050555,"[[584.6, 441.0], [86.8, 66.4]]"
svm,linear,100,5.00E-01,-3.01E-01,0.471471394,0.500980774,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5.00E-05,-4.30E+00,0.675107896,0.498692081,"[[756.6, 269.0], [114.0, 39.2]]"
svm,linear,100,1.00E-01,-1.00E+00,0.471471394,0.501007332,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1.00E+01,1.00E+00,0.471471394,0.499317073,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5.00E+00,6.99E-01,0.471471394,0.499805068,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1.00E-04,-4.00E+00,0.47309501,0.502095478,"[[472.6, 553.0], [68.2, 85.0]]"
svm,linear,100,5.00E+03,3.70E+00,0.471471394,0.5,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,5.00E+02,2.70E+00,0.471471394,0.5,"[[473.6, 552.0], [71.0, 82.2]]"
svm,linear,100,1.00E+02,2.00E+00,0.471471394,0.5,"[[473.6, 552.0], [71.0, 82.2]]"
