time,model,kernel,max_iter,C,mean_accuracy_score,mean_roc_auc_score,mean_confusion_matrix
17:52:24.056,svm,linear,10,1E-15,0.2910712892,0.4796120456,"[[221.4, 804.2], [31.6, 121.6]]"
17:52:24.155,svm,linear,10,5E-15,0.2910712892,0.4794366753,"[[221.4, 804.2], [31.6, 121.6]]"
17:52:24.161,svm,linear,10,1E-14,0.2910712892,0.4731087253,"[[221.4, 804.2], [31.6, 121.6]]"
17:52:24.188,svm,linear,10,5E-13,0.2905623834,0.4743101053,"[[220.8, 804.8], [31.6, 121.6]]"
17:52:24.203,svm,linear,10,1E-12,0.2905623834,0.4759517448,"[[220.8, 804.8], [31.6, 121.6]]"
17:52:24.212,svm,linear,10,5E-12,0.2903927481,0.4880219052,"[[220.6, 805.0], [31.6, 121.6]]"
17:52:24.219,svm,linear,10,1E-13,0.2910712892,0.4733741602,"[[221.4, 804.2], [31.6, 121.6]]"
17:52:24.229,svm,linear,10,5E-14,0.2910712892,0.4732330948,"[[221.4, 804.2], [31.6, 121.6]]"
17:52:24.248,svm,linear,10,5E-11,0.2903923168,0.4937756786,"[[220.8, 804.8], [31.8, 121.4]]"
17:52:24.252,svm,linear,10,1E-11,0.2905622396,0.4854159180,"[[220.8, 804.8], [31.6, 121.6]]"
17:52:24.332,svm,linear,10,1E-09,0.5637288123,0.5221342943,"[[601.4, 424.2], [90.0, 63.2]]"
17:52:24.421,svm,linear,10,5E-10,0.3037926417,0.5165862247,"[[241.4, 784.2], [36.6, 116.6]]"
17:52:24.474,svm,linear,10,1E-05,0.5591515297,0.4964658145,"[[594.8, 430.8], [88.8, 64.4]]"
17:52:24.491,svm,linear,10,5E-09,0.3643004514,0.5140876958,"[[326.6, 699.0], [50.4, 102.8]]"
17:52:24.548,svm,linear,10,1E-02,0.5641029042,0.4997255088,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:24.553,svm,linear,10,1E-03,0.5641029042,0.4995573324,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:24.590,svm,linear,10,1E-06,0.5300733382,0.4991622031,"[[555.0, 470.6], [83.4, 69.8]]"
17:52:24.602,svm,linear,10,5E-05,0.6789235506,0.4784340052,"[[762.4, 263.2], [115.2, 38.0]]"
17:52:24.611,svm,linear,10,5E-08,0.4187994590,0.4957146036,"[[400.2, 625.4], [59.8, 93.4]]"
17:52:24.625,svm,linear,10,1E-10,0.2912404932,0.4941356055,"[[221.8, 803.8], [31.8, 121.4]]"
17:52:24.624,svm,linear,10,5E-07,0.4035928059,0.5171899259,"[[378.8, 646.8], [56.2, 97.0]]"
17:52:24.626,svm,linear,10,1E-04,0.5647815894,0.4945763884,"[[602.2, 423.4], [89.8, 63.4]]"
17:52:24.629,svm,linear,10,5E-02,0.5641029042,0.4998270368,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:24.634,svm,linear,10,5E-03,0.5641029042,0.4990356032,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:24.663,svm,linear,10,5E-04,0.5641029042,0.4998497301,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:24.683,svm,linear,10,1E+00,0.5641029042,0.4997720122,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:24.691,svm,linear,10,1E-08,0.5589675105,0.5014981128,"[[595.0, 430.6], [89.2, 64.0]]"
17:52:24.744,svm,linear,10,5E+01,0.5641029042,0.4997720122,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:24.755,svm,linear,10,1E+01,0.5641029042,0.4997720122,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:24.761,svm,linear,10,5E-01,0.5641029042,0.4997720122,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:24.779,svm,linear,10,1E+04,0.5641029042,0.4997745603,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:24.801,svm,linear,10,1E+03,0.5641029042,0.4997739233,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:24.813,svm,linear,10,1E-07,0.3368572646,0.4902387513,"[[280.6, 745.0], [36.8, 116.4]]"
17:52:24.823,svm,linear,10,1E+02,0.5641029042,0.4997726492,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:24.860,svm,linear,10,5E+03,0.5641029042,0.4997732862,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:24.880,svm,linear,10,5E+00,0.5641029042,0.4997720122,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:24.899,svm,linear,10,1E+06,0.5641029042,0.4997471679,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:24.904,svm,linear,10,1E-01,0.5641029042,0.4997720122,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:24.909,svm,linear,10,5E-06,0.6956441527,0.5049537673,"[[782.6, 243.0], [115.8, 37.4]]"
17:52:24.910,svm,linear,10,1E+07,0.5641029042,0.4998764854,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:24.925,svm,linear,10,5E+02,0.5641029042,0.4997726492,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:24.943,svm,linear,10,1E+08,0.5641029042,0.4978029464,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:24.949,svm,linear,10,5E+07,0.5641029042,0.4997790195,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:24.962,svm,linear,10,1E+05,0.5641029042,0.4997726492,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:24.968,svm,linear,10,5E+04,0.5641029042,0.4997783825,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:25.001,svm,linear,10,5E+05,0.5641029042,0.4997325162,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:25.020,svm,linear,10,5E+06,0.5641029042,0.4996153023,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:25.547,svm,linear,10,5E+08,0.5641029042,0.4993804293,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:25.815,svm,linear,10,5E+09,0.5641029042,0.4994089096,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:25.832,svm,linear,10,1E+13,0.5641029042,0.4982342557,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:25.838,svm,linear,10,5E+12,0.5641029042,0.4982342557,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:25.872,svm,linear,10,1E+11,0.5641029042,0.4982690650,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:25.894,svm,linear,10,5E+13,0.5641029042,0.4982342557,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:25.896,svm,linear,10,1E+12,0.5641029042,0.4951014237,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:25.897,svm,linear,10,1E+09,0.5641029042,0.4994006819,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:25.900,svm,linear,10,5E+11,0.5641029042,0.4967178384,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:25.904,svm,linear,10,1E+10,0.5641029042,0.4993487845,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:25.907,svm,linear,10,5E+10,0.5641029042,0.4986462706,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:26.151,svm,linear,10,5E+15,0.5641029042,0.4982342557,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:26.204,svm,linear,10,1E+15,0.5641029042,0.4982342557,"[[601.4, 424.2], [89.8, 63.4]]"
17:52:26.211,svm,linear,10,1E+14,0.5641029042,0.4982342557,"[[601.4, 424.2], [89.8, 63.4]]"
