datetime,model,kernel,max_iter,poly_degree,C,mean_accuracy_score,mean_roc_auc_score,mean_precision_score,mean_recall_score,mean_f1_score,mean_cm_TN,mean_cm_FP,mean_cm_FN,mean_cm_TP
2017-08-20 18:28:13.485245,svm,linear,10,0,5E-15,0.2910712892,0.4775938562,0.1053141094,0.7934640523,0.1859347792,221.4,804.2,31.6,121.6
2017-08-20 18:28:13.504299,svm,linear,10,0,1E-13,0.2910712892,0.4733741602,0.1053141094,0.7934640523,0.1859347792,221.4,804.2,31.6,121.6
2017-08-20 18:28:13.506050,svm,linear,10,0,5E-13,0.2905623834,0.4743101053,0.1052469908,0.7934640523,0.1858298052,220.8,804.8,31.6,121.6
2017-08-20 18:28:13.519035,svm,linear,10,0,1E-15,0.2910712892,0.4928077403,0.1053141094,0.7934640523,0.1859347792,221.4,804.2,31.6,121.6
2017-08-20 18:28:13.521196,svm,linear,10,0,1E-14,0.2910712892,0.4731093629,0.1053141094,0.7934640523,0.1859347792,221.4,804.2,31.6,121.6
2017-08-20 18:28:13.537173,svm,linear,10,0,5E-14,0.2910712892,0.4732330948,0.1053141094,0.7934640523,0.1859347792,221.4,804.2,31.6,121.6
2017-08-20 18:28:13.541923,svm,linear,10,0,1E-11,0.2905622396,0.4875359603,0.1052469084,0.7934640523,0.1858296650,220.8,804.8,31.6,121.6
2017-08-20 18:28:13.555017,svm,linear,10,0,5E-12,0.2903927481,0.4825410313,0.1052246943,0.7934640523,0.1857949195,220.6,805.0,31.6,121.6
2017-08-20 18:28:13.578418,svm,linear,10,0,1E-12,0.2905623834,0.4758427793,0.1052469908,0.7934640523,0.1858298052,220.8,804.8,31.6,121.6
2017-08-20 18:28:13.608970,svm,linear,10,0,1E-07,0.3368572646,0.5063723987,0.1365932847,0.7594856124,0.2166926618,280.6,745.0,36.8,116.4
2017-08-20 18:28:13.660704,svm,linear,10,0,5E-08,0.4187994590,0.4997668744,0.1180004114,0.6091673033,0.1639768403,400.2,625.4,59.8,93.4
2017-08-20 18:28:13.681732,svm,linear,10,0,5E-07,0.4035928059,0.5053561933,0.1216245319,0.6338426280,0.1772338889,378.8,646.8,56.2,97.0
2017-08-20 18:28:13.688099,svm,linear,10,0,5E-09,0.3643004514,0.4953570134,0.1189758660,0.6705967235,0.1849344156,326.6,699.0,50.4,102.8
2017-08-20 18:28:13.776695,svm,linear,10,0,5E-06,0.6956441527,0.4730559014,0.1376351485,0.2443680503,0.1212723551,782.6,243.0,115.8,37.4
2017-08-20 18:28:13.803747,svm,linear,10,0,1E-05,0.5591515297,0.5003472072,0.1118746530,0.4207707325,0.1331987407,594.8,430.8,88.8,64.4
2017-08-20 18:28:13.867669,svm,linear,10,0,1E-10,0.2912404932,0.4926377575,0.1052096323,0.7921568627,0.1857363716,221.8,803.8,31.8,121.4
2017-08-20 18:28:13.988016,svm,linear,10,0,1E-04,0.5647815894,0.4924043542,0.1295167166,0.4132161956,0.1571129301,602.2,423.4,89.8,63.4
2017-08-20 18:28:14.075498,svm,linear,10,0,5E-05,0.6789235506,0.4846768337,0.1246471120,0.2482556659,0.1267760560,762.4,263.2,115.2,38.0
2017-08-20 18:28:14.108313,svm,linear,10,0,1E-01,0.5641029042,0.4999659147,0.1289619092,0.4132161956,0.1568098324,601.4,424.2,89.8,63.4
2017-08-20 18:28:14.143495,svm,linear,10,0,1E-03,0.5641029042,0.4864633856,0.1289619092,0.4132161956,0.1568098324,601.4,424.2,89.8,63.4
2017-08-20 18:28:14.162797,svm,linear,10,0,5E-10,0.3037926417,0.5166015379,0.1037149228,0.7608182667,0.1825158123,241.4,784.2,36.6,116.6
2017-08-20 18:28:14.174014,svm,linear,10,0,1E-06,0.5300733382,0.4987355674,0.1207181679,0.4560903149,0.1545266181,555.0,470.6,83.4,69.8
2017-08-20 18:28:14.180342,svm,linear,10,0,5E-03,0.5641029042,0.4865461998,0.1289619092,0.4132161956,0.1568098324,601.4,424.2,89.8,63.4
2017-08-20 18:28:14.201882,svm,linear,10,0,5E+00,0.5641029042,0.4999659147,0.1289619092,0.4132161956,0.1568098324,601.4,424.2,89.8,63.4
2017-08-20 18:28:14.210980,svm,linear,10,0,1E-02,0.5641029042,0.4984204752,0.1289619092,0.4132161956,0.1568098324,601.4,424.2,89.8,63.4
2017-08-20 18:28:14.285792,svm,linear,10,0,1E-08,0.5589675105,0.4940058688,0.1100745969,0.4182497241,0.1275024055,595.0,430.6,89.2,64.0
2017-08-20 18:28:14.304427,svm,linear,10,0,1E+01,0.5641029042,0.4999659147,0.1289619092,0.4132161956,0.1568098324,601.4,424.2,89.8,63.4
2017-08-20 18:28:14.326353,svm,linear,10,0,5E-04,0.5641029042,0.4993177388,0.1289619092,0.4132161956,0.1568098324,601.4,424.2,89.8,63.4
2017-08-20 18:28:14.327576,svm,linear,10,0,5E+05,0.5641029042,0.4995766757,0.1289619092,0.4132161956,0.1568098324,601.4,424.2,89.8,63.4
2017-08-20 18:28:14.348408,svm,linear,10,0,1E+00,0.5641029042,0.4999659147,0.1289619092,0.4132161956,0.1568098324,601.4,424.2,89.8,63.4
2017-08-20 18:28:14.343407,svm,linear,10,0,5E+01,0.5641029042,0.4999671804,0.1289619092,0.4132161956,0.1568098324,601.4,424.2,89.8,63.4
2017-08-20 18:28:14.356412,svm,linear,10,0,5E+04,0.5641029042,0.4997912314,0.1289619092,0.4132161956,0.1568098324,601.4,424.2,89.8,63.4
