datetime,model,n_estimators,max_depth,min_samples_leaf,max_features,mean_accuracy_score,mean_roc_auc_score,mean_precision_score,mean_recall_score,mean_f1_score,mean_cm_TN,mean_cm_FP,mean_cm_FN,mean_cm_TP
2017-09-07 17:14:53.090017,forest,1,None,1,log2,0.7621272021,0.5585091809,0.2032045359,0.2832357185,0.2363555643,855.0,170.6,109.8,43.4
2017-09-07 17:14:53.099957,forest,1,None,1,sqrt,0.7807873767,0.5815072909,0.2379810056,0.3119174943,0.2695608110,872.6,153.0,105.4,47.8
2017-09-07 17:14:53.406195,forest,1,None,1,0.5,0.7619548303,0.5634530233,0.2078758966,0.2949240302,0.2434465037,853.0,172.6,108.0,45.2
2017-09-07 17:14:53.840832,forest,1,None,1,None,0.7622985613,0.5603700262,0.2040097487,0.2872167049,0.2383926001,854.6,171.0,109.2,44.0
2017-09-07 17:14:54.301218,forest,1,None,2,log2,0.7477129421,0.5860572548,0.2106033585,0.3420168067,0.2605327457,829.0,196.6,100.8,52.4
2017-09-07 17:14:54.313810,forest,1,None,2,sqrt,0.7390567917,0.5724863871,0.2010421629,0.3394873101,0.2524730667,819.2,206.4,101.2,52.0
2017-09-07 17:14:54.994935,forest,1,None,2,0.5,0.7480425706,0.5643436325,0.1992919391,0.3093200917,0.2421471057,834.4,191.2,105.8,47.4
2017-09-07 17:14:55.733176,forest,1,None,3,log2,0.7254820785,0.5739334219,0.1890026645,0.3381376793,0.2424044747,803.4,222.2,101.4,51.8
2017-09-07 17:14:55.781362,forest,1,None,3,sqrt,0.7288720508,0.5904488932,0.2015556613,0.3667770138,0.2600206174,803.0,222.6,97.0,56.2
2017-09-07 17:14:55.930272,forest,1,None,2,None,0.7499095677,0.5668888211,0.2006650559,0.3106442577,0.2436445264,836.4,189.2,105.6,47.6
