FEATURE,DIFF MEAN,P VALUE,T VALUE
user_verified,-0.33486265259395942007,0.00000000000000000430,-8.69855649308725098479
text_num_caps_digits,+0.32850846980519771146,0.00000000000000001817,+8.53143813421943164599
text_num_caps_digits_exclam,+0.32037628909185467130,0.00000000000000011032,+8.31773186198049252482
text_num_caps,+0.28434178408325488929,0.00000000000018982640,+7.37300603310724245176
text_num_caps_exclam,+0.27639194149561913116,0.00000000000087281045,+7.16504376471533177551
text_num_digits,+0.27233724676713788604,0.00000000000186958317,+7.05903629667134602244
user_screen_name_has_caps_digits,+0.26228598868813657319,0.00000000001178100595,+6.79642373214002759596
user_screen_name_num_caps_digits,+0.22517250022978960167,0.00000000588121100628,+5.82872389377630195639
user_screen_name_has_caps_digits_underscores,+0.22051846359314025703,0.00000001201798678693,+5.70757823906140782100
user_screen_name_num_caps_digits_underscores,+0.21631835388687753463,0.00000002262544180715,+5.59828483311374114351
user_screen_name_has_caps,+0.20699666760347879002,0.00000008838704498429,+5.35583999643755248599
num_urls_is_nonzero,+0.19375182968620113799,0.00000055546626709527,+5.01163152209929929626
num_urls,+0.19275906031877612645,0.00000063457724714638,+4.98584368834203406351
user_screen_name_num_caps,+0.17773751348283250984,0.00000439979639098320,+4.59584925458091486661
created_at_weekday_sun_mon_tue,+0.17620279987247489117,0.00000531821008238821,+4.55602496819362734470
user_screen_name_num_caps_underscores,+0.16849613144738301296,0.00001346469570402121,+4.35609937975342464966
user_screen_name_has_caps_underscores,+0.16148149252878940541,0.00003033387736915433,+4.17420324343184212523
user_screen_name_has_digits,+0.15511861447632552258,0.00006165950921821625,+4.00926857794722035777
user_description_num_exclam,+0.15095065342011762533,0.00009675917875963300,+3.90125937312726689399
user_followers_count_per_day,-0.14234341594570812384,0.00023690324798995431,-3.67828246340811837456
user_screen_name_num_digits,+0.13311091851101999883,0.00058745594493451049,+3.43921080298013759347
user_listed_count_per_day,-0.13165127773521700938,0.00067481757908323208,-3.40142333551715125850
user_friends_count_per_day,+0.12953283785566638286,0.00082325732430991441,+3.34658513004466806606
user_followers_count,-0.12628884597002143497,0.00111016076037015942,-3.26262062404897568157
num_media,-0.12601849950871957251,0.00113783067671653117,-3.25562375641857704167
created_at_hour_18_to_00,-0.12511174536841593308,0.00123535800778445037,-3.23215653947273517943
num_media_is_nonzero,-0.12505418201077539431,0.00124180263026520891,-3.23066680373507431057
user_description_num_caps_exclam,+0.12190114358165649033,0.00164608597263901277,+3.14907190631085232013
created_at_hour_08_to_17,+0.12181730258185527460,0.00165832748771026347,+3.14690240045717795070
