FEATURE                                                      T VALUE                        P VALUE                       
user_verified                                                -8.69855649308725098479        0.00000000000000000430        
text_num_caps_digits                                         +8.53143813421943164599        0.00000000000000001817        
text_num_caps_digits_exclam                                  +8.31773186198049252482        0.00000000000000011032        
text_num_caps                                                +7.37300603310724245176        0.00000000000018982640        
text_num_caps_exclam                                         +7.16504376471533177551        0.00000000000087281045        
text_num_digits                                              +7.05903629667134602244        0.00000000000186958317        
user_screen_name_has_caps_digits                             +6.79642373214002759596        0.00000000001178100595        
user_screen_name_num_caps_digits                             +5.82872389377630195639        0.00000000588121100628        
user_screen_name_has_caps_digits_underscores                 +5.70757823906140782100        0.00000001201798678693        
user_screen_name_num_caps_digits_underscores                 +5.59828483311374114351        0.00000002262544180715        
user_screen_name_has_caps                                    +5.35583999643755248599        0.00000008838704498429        
num_urls_is_nonzero                                          +5.01163152209929929626        0.00000055546626709527        
num_urls                                                     +4.98584368834203406351        0.00000063457724714638        
created_at_weekday_sun_mon_tue                               +4.62847175653151765573        0.00000376270618712704        
user_screen_name_num_caps                                    +4.59584925458091486661        0.00000439979639098320        
user_screen_name_num_caps_underscores                        +4.35609937975342464966        0.00001346469570402121        
user_screen_name_has_caps_underscores                        +4.17420324343184212523        0.00003033387736915433        
user_screen_name_has_digits                                  +4.00926857794722035777        0.00006165950921821625        
user_description_num_exclam                                  +3.90125937312726689399        0.00009675917875963300        
user_followers_count_per_day                                 -3.62250747911238013543        0.00029421691129228369        
created_at_hour_13_to_22                                     +3.52545770734848540329        0.00042596559466162619        
user_screen_name_num_digits                                  +3.43921080298013759347        0.00058745594493451049        
user_listed_count_per_day                                    -3.42057065318038278079        0.00062914282581950931        
user_friends_count_per_day                                   +3.36560848993659256223        0.00076863341637853702        
user_followers_count                                         -3.26262062404897568157        0.00111016076037015942        
num_media                                                    -3.25562375641857704167        0.00113783067671653117        
created_at_hour_23_to_5                                      -3.23215653947273517943        0.00123535800778445037        
num_media_is_nonzero                                         -3.23066680373507431057        0.00124180263026520891        
user_description_num_caps_exclam                             +3.14907190631085232013        0.00164608597263901277        
user_statuses_count_per_day                                  +3.00899279485335124917        0.00263224020467507343        
text_num_swears                                              -2.98705738725803726652        0.00282836836204724152        
user_description_num_non_a_to_z                              +2.96905167098084632471        0.00299923689022872598        
user_description_num_caps                                    +2.95790751662524042942        0.00310965737703582275        
user_description_num_non_a_to_z_non_digits                   +2.95778568452991841298        0.00311088476024148431        
